taxon_id,name,obs_count
169753,Thymus pulegioides,27
170086,Utricularia inflata,27
51807,Aquilegia vulgaris,26
52614,Zostera marina,26
52833,Anaphalis margaritacea,26
62366,Goodyera tesselata,26
129509,Taxus canadensis,26
153208,Ilex mucronata,26
160628,Cirsium pumilum,26
51737,Solanum lycopersicum,25
56160,Valeriana officinalis,25
68286,Polytrichum juniperinum,25
77991,Mentha canadensis,25
78998,Schoenoplectus tabernaemontani,25
82558,Asplenium rhizophyllum,25
123134,Dicranum scoparium,25
125668,Climacium americanum,25
128724,Puschkinia scilloides,25
130095,Gaylussacia frondosa,25
130994,Desmodium glabellum,25
145724,Dichanthelium dichotomum,25
151797,Aronia arbutifolia,25
164974,Lycopus virginicus,25
1092837,Psammophiliella muralis,25
55734,Sedum acre,24
61948,Stellaria graminea,24
64177,Leersia oryzoides,24
129347,Ilex glabra,24
161785,Dichanthelium depauperatum,24
164458,Lechea intermedia,24
170060,Ulota crispa,24
469472,Malus domestica,24
1367313,Neillia incisa,24
52287,Borago officinalis,23
53168,Oxalis corniculata,23
64161,Triticum aestivum,23
79016,Scutellaria galericulata,23
122054,Woodwardia virginica,23
125101,Houstonia pusilla,23
136375,Galium tinctorium,23
